,month,unique_carrier,origin_airport_id,dest_airport_id,distance,arr_delay,carrier_avg_monthly_payload,carrier_avg_monthly_psngr,carrier_avg_monthly_dep_scheduled,carrier_avg_monthly_r2r,airport_avg_taxi_out,airport_avg_taxi_in
269,5,UA,13485,11292,826,56.0,65066.0,201.0,13.29,333.0,14.86,9.27
270,9,OO,14814,11292,792,-4.0,372400.0,1386.5,29.88,3909.5,15.67,9.27
271,8,UA,11042,11292,1201,-3.0,484224.5,1862.5,13.75,1492.5,13.0,9.27
272,1,UA,11278,11292,1476,-6.0,582563.0,2315.0,31.15,3046.0,23.89,9.27
273,9,YX,11413,11292,250,4.0,992036.5,1737.5,45.5,3179.0,20.25,9.27
274,5,WN,13871,11292,472,-4.0,1764600.0,6204.0,49.57,5697.0,11.0,9.27
275,2,UA,10299,11292,2405,-35.0,222585.5,578.5,9.42,555.0,10.0,9.27
276,3,WN,14683,11292,794,-7.0,325500.0,1160.5,13.42,920.5,14.5,9.27
277,3,F9,14635,11292,1607,-20.0,1161600.0,4568.0,32.0,7937.0,13.88,9.27
278,5,OO,14570,11292,804,-15.0,344240.0,1407.5,31.25,2839.5,11.33,9.27
279,7,UA,11884,11292,836,-1.0,96268.0,264.5,18.67,408.0,12.0,9.27
280,4,OO,10372,11292,125,-5.0,580140.0,2227.5,47.5,4180.0,23.0,9.27
281,3,OO,11433,11823,128,-13.0,420000.0,1874.0,31.0,2596.0,18.65,7.0
282,7,OO,11433,13485,311,2.0,453680.0,1592.0,26.0,2116.5,18.65,4.5
283,5,OO,13487,13485,228,-15.0,344240.0,1407.5,31.25,2839.5,17.79,4.5
284,4,WN,11433,10397,594,-15.0,737800.0,2428.0,27.86,1692.0,18.65,9.48
285,6,WN,11433,10397,594,-23.0,173600.0,647.0,18.0,642.0,18.65,9.48
286,1,DL,11433,10397,594,10.0,1636689.0,4818.0,29.8,9688.5,18.65,9.48
287,9,UA,12264,10397,534,-16.0,362407.0,1075.5,13.38,2060.5,19.57,9.48
288,7,UA,12264,10397,534,,96268.0,264.5,18.67,408.0,19.57,9.48
289,4,WN,15304,10397,406,-11.0,737800.0,2428.0,27.86,1692.0,14.0,9.48
290,8,DL,12889,10397,1747,-1.0,1040940.0,3446.0,29.17,4786.5,14.32,9.48
291,9,DL,13244,10397,332,-23.0,1423610.0,4261.0,32.4,3183.0,12.5,9.48
292,5,DL,13244,10397,332,-29.0,2259386.0,6285.0,65.0,9911.0,12.5,9.48
293,3,DL,10721,10397,946,20.0,1451660.0,3795.0,48.0,3661.0,22.71,9.48
294,6,DL,11697,10397,581,35.0,1612228.5,5781.5,56.25,5836.0,18.67,9.48
295,3,WN,11697,10397,581,24.0,325500.0,1160.5,13.42,920.5,18.67,9.48
296,9,WN,11996,10397,153,-16.0,1715400.0,5348.5,47.38,5222.0,18.5,9.48
297,7,B6,13204,10397,404,313.0,681200.0,1649.0,28.0,2672.0,15.69,9.48
298,2,DL,10423,10397,813,-10.0,196360.0,683.0,17.43,899.0,14.78,9.48
299,7,DL,13487,10397,907,0.0,102190.0,257.0,24.18,496.0,17.79,9.48
300,7,DL,13487,10397,907,-9.0,102190.0,257.0,24.18,496.0,17.79,9.48
301,1,DL,11278,10397,547,-12.0,1636689.0,4818.0,29.8,9688.5,23.89,9.48
302,8,WN,14524,10397,481,-22.0,675300.0,2151.0,28.5,2738.5,15.0,9.48
303,7,DL,11618,10397,746,3.0,102190.0,257.0,24.18,496.0,26.0,9.48
304,8,DL,12266,10397,689,2.0,1040940.0,3446.0,29.17,4786.5,18.5,9.48
305,5,WN,11066,10397,447,-13.0,1764600.0,6204.0,49.57,5697.0,12.0,9.48
306,7,DL,11066,10397,447,-11.0,102190.0,257.0,24.18,496.0,12.0,9.48
307,3,WN,12191,10397,696,229.0,325500.0,1160.5,13.42,920.5,8.11,9.48
308,8,DL,12191,10397,696,-16.0,1040940.0,3446.0,29.17,4786.5,8.11,9.48
