month,airline_id,unique_carrier,tdomt_cost,tdomt_gallons
6,20402,GL,404431,149225
7,20368,G4,47444838,21534807
4,20190,9S,1530117,746246
8,21171,VX,22740515,17647370
1,19790,DL,345424031,167883633
2,20046,ZW,11422884,5878909
9,19917,5X,48379000,32737000
8,20007,5Y,25361960,11774610
5,20416,NK,41968961,25642228
7,19917,5X,57449000,33365000
9,19977,UA,228145726,130827242
4,19393,WN,260647957,164789814
1,20402,GL,857483,471222
8,19874,8C,68563,22370
4,20190,9S,1771512,843577
2,19977,UA,110006862,105058237
12,21492,1BQ,40825,12355
7,20422,SY,11699946,4589692
1,20372,KLQ,243506,99972
7,20046,ZW,14134661,7237519
8,20310,WL,192018,50866
2,20151,M6,813677,376567
3,20377,X9,1419862,546781
5,20370,KAQ,1290753,830460
5,20190,9S,1643525,782631
5,20366,EV,264323,104685
10,21634,KH,668825,442368
3,19930,AS,125950923,59544847
9,20368,G4,18949260,11608073
11,21492,1BQ,12893,3006
1,21629,KD,51547,28288
9,19930,AS,58015853,34534129
11,19930,AS,58879494,36371183
12,20046,ZW,145002,43910
12,20409,B6,105741770,53994663
7,21629,KD,18317,18317
8,21161,09Q,706936,250019
12,20416,NK,43979705,25917939
4,20107,FX,116259221,56876696
12,21650,EE,310222,169520
10,19790,DL,307188806,149249455
6,19874,8C,120829,43052
8,20007,5Y,36170901,16764718
5,21712,2HQ,1414964,304165
10,20377,X9,876748,356543
6,21171,VX,26879590,14488660
2,20107,FX,112936000,57620127
12,20370,KAQ,4162745,2719396
4,19393,WN,343556447,171492052
11,20151,M6,595343,364513
6,19917,5X,83367000,38045000
7,20310,WL,62459,27418
1,19690,HA,25605676,13687831
9,19690,HA,24211541,14350949
1,20409,B6,114629092,53985306
10,20151,M6,427479,254313
8,20408,5V,955898,390175
4,19690,HA,16175531,13260286
3,20007,5Y,9763777,5339379
1,20405,N8,225990,67058
8,19690,HA,30576646,16190448
2,20368,G4,25981537,14160937
12,20447,U7,1560854,787435
12,21629,KD,33462,33462
9,21492,1BQ,241376,76144
2,19930,AS,107399929,50121660
9,20107,FX,103001000,57868243
3,20422,SY,7986548,4271838
8,19917,5X,48203000,31350000
6,19690,HA,34893933,15996680
10,20151,M6,836631,335194
2,20310,WL,68293,35508
3,21352,0WQ,32637,12505
8,19805,AA,302212690,196202881
12,20436,F9,34763616,20060908
7,20408,5V,936113,452311
2,19930,AS,41076457,34637580
